"SimID","NumObservations","NumSparseCols","MeanJsim"
1,500,1,NA
2,500,3,NA
3,500,6,NA
4,1500,1,NA
5,1500,3,NA
6,1500,6,NA
7,2790,1,NA
8,2790,3,NA
9,2790,6,NA
